N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"82,000","1,700",-2.03%,100,"4,895,222","5,969,783",55.15,"36,700,640",22.39,8.69,
2,SK하이닉스,"122,500",500,-0.41%,"5,000","891,803","728,002",49.92,"7,224,740",31.08,4.25,
3,LG화학,"917,000","21,000",-2.24%,"5,000","647,332","70,592",43.10,"621,763",85.68,1.84,
4,삼성전자우,"73,100","2,500",-3.31%,100,"601,530","822,887",79.68,"5,698,994",19.96,N/A,
5,NAVER,"343,000","12,000",-3.38%,100,"563,423","164,263",57.22,"1,596,229",68.29,10.56,
6,삼성바이오로직스,"793,000","45,000",-5.37%,"2,500","524,688","66,165",10.62,"275,002",147.64,4.77,
7,삼성SDI,"734,000","33,000",-4.30%,"5,000","504,732","68,765",44.26,"754,444",250.43,2.94,
8,현대차,"229,000","9,500",-3.98%,"5,000","489,300","213,668",31.01,"2,636,780",54.72,4.32,
9,셀트리온,"324,000","10,500",-3.14%,"1,000","437,393","134,998",20.80,"1,064,092",87.57,11.19,
10,카카오,"441,000","17,000",-3.71%,500,"390,554","88,561",33.82,"1,065,144",-489.46,-5.81,
11,기아차,"82,500","5,700",-6.46%,"5,000","334,425","405,363",35.33,"9,043,727",38.34,6.50,
12,현대모비스,"317,500","13,500",-4.08%,"5,000","301,799","95,055",41.18,"882,307",19.36,7.28,
13,SK이노베이션,"280,000","3,500",+1.27%,"5,000","258,904","92,466",23.49,"3,000,295",-10.65,-0.20,
14,LG전자,"153,000","11,500",-6.99%,"5,000","250,381","163,648",33.78,"5,313,666",33.23,0.22,
15,LG생활건강,"1,557,000","32,000",-2.01%,"5,000","243,175","15,618",45.90,"58,505",34.88,20.32,
16,삼성물산,"130,000","4,000",-2.99%,100,"242,953","186,887",14.82,"1,317,560",21.78,4.77,
17,SK,"311,000","11,000",-3.42%,200,"218,821","70,360",21.71,"888,139","1,312.24",4.31,
18,POSCO,"245,500","4,500",-1.80%,"5,000","214,044","87,187",50.92,"543,162",22.49,4.18,
19,엔씨소프트,"953,000","15,000",-1.55%,500,"209,222","21,954",49.79,"139,348",37.29,14.72,
20,SK텔레콤,"244,000","4,000",-1.61%,500,"197,020","80,746",34.98,"488,535",17.97,3.92,
21,LG,"99,100","4,400",-4.25%,"5,000","171,004","172,557",34.75,"742,956",14.01,5.87,
22,KB금융,"40,300",800,-1.95%,"5,000","167,571","415,808",66.32,"3,042,496",4.92,8.92,
23,신한지주,"30,650","1,550",-4.81%,"5,000","158,338","516,600",58.48,"3,502,611",4.40,9.09,
24,삼성전기,"204,000","5,500",-2.63%,"5,000","152,375","74,694",35.37,"1,134,567",41.79,10.18,
25,삼성에스디에스,"195,500","12,500",-6.01%,500,"151,274","77,378",11.72,"498,593",28.86,11.76,
26,한국전력,"22,850",650,-2.77%,"5,000","146,689","641,964",17.11,"4,961,106",158.68,-3.42,
27,삼성생명,"70,600","2,600",-3.55%,500,"141,200","200,000",12.33,"866,119",14.18,3.26,
28,아모레퍼시픽,"223,000","10,000",-4.29%,500,"130,362","58,458",32.93,"279,876",358.52,5.36,
29,SK바이오팜,"145,000","3,000",-2.03%,500,"113,554","78,313",4.83,"254,107",-131.82,-313.66,
30,넷마블,"131,500","3,500",-2.59%,100,"112,930","85,878",23.57,"1,107,377",53.26,3.54,
31,KT&G,"80,200","1,200",-1.47%,"5,000","110,109","137,292",40.51,"1,012,399",11.19,12.39,
32,하나금융지주,"32,650","1,850",-5.36%,"5,000","98,029","300,242",67.19,"3,050,340",3.99,8.77,
33,롯데케미칼,"261,000","13,500",-4.92%,"5,000","89,459","34,275",26.17,"275,003",77.15,5.51,
34,한온시스템,"16,700","1,200",-6.70%,100,"89,145","533,800",20.06,"1,882,380",63.50,14.98,
35,포스코케미칼,"134,500","5,500",-3.93%,500,"82,029","60,988",7.45,"495,301",302.25,11.57,
36,한화솔루션,"49,800","1,700",-3.30%,"5,000","79,613","159,864",19.01,"2,569,766",-91.38,-4.02,
37,삼성화재,"168,000","6,500",-3.72%,500,"79,590","47,375",44.64,"283,422",12.28,4.85,
38,LG디스플레이,"21,750","1,250",-5.43%,"5,000","77,825","357,816",23.95,"6,262,629",-3.17,-22.35,
39,S-Oil,"68,200","2,000",-2.85%,"2,500","76,781","112,583",76.02,"507,399",-9.14,1.01,
40,고려아연,"406,000","2,000",+0.50%,"5,000","76,612","18,870",22.93,"100,643",13.68,9.76,
41,금호석유,"247,500","29,500",-10.65%,"5,000","75,408","30,468",28.75,"2,010,511",21.18,11.84,
42,빅히트,"204,500","15,500",-7.05%,500,"72,851","35,624",8.79,"765,211",N/A,56.47,
43,현대글로비스,"190,000","10,000",-5.00%,500,"71,250","37,500",35.34,"606,108",10.68,11.25,
44,한국조선해양,"94,000","4,300",-4.37%,"5,000","66,527","70,773",16.43,"777,076",311.26,1.40,
45,CJ제일제당,"426,000","24,000",-5.33%,"5,000","64,131","15,054",24.80,"111,683",8.85,3.16,
46,우리금융지주,"8,800",300,-3.30%,"5,000","63,560","722,268",25.05,"3,057,315",4.72,N/A,
47,KT,"23,950",250,+1.05%,"5,000","62,536","261,112",43.77,"2,958,181",10.20,4.61,
48,미래에셋대우,"9,500",260,-2.66%,"5,000","61,305","645,316",14.96,"4,016,537",9.93,7.56,
49,KODEX 200,"41,125",945,-2.25%,0,"58,377","141,950",2.98,"12,088,585",N/A,N/A,
50,기업은행,"7,830",250,-3.09%,"5,000","57,837","738,664",10.44,"4,558,440",4.00,7.36,
51,한미사이언스,"80,600","4,600",-5.40%,500,"54,248","67,305",1.79,"306,626",366.36,4.73,
52,LG유플러스,"11,950",200,-1.65%,"5,000","52,175","436,611",30.31,"4,174,914",6.58,6.30,
53,현대제철,"38,800","1,950",-4.79%,"5,000","51,777","133,446",19.53,"1,811,181",-21.02,0.10,
54,코웨이,"69,700","1,300",-1.83%,500,"51,438","73,800",60.92,"358,749",14.40,30.74,
55,한국타이어앤테크놀로지,"41,150","2,650",-6.05%,500,"50,975","123,875",40.71,"456,971",19.80,6.03,
56,강원랜드,"23,550",350,-1.46%,500,"50,383","213,940",22.35,"1,087,818",-26.52,9.16,
57,대한항공,"28,700",950,-3.20%,"5,000","49,998","174,210",11.67,"3,271,421",-8.44,-22.09,
58,녹십자,"423,500","25,000",-5.57%,"5,000","49,492","11,687",22.11,"555,796",113.60,-0.35,
59,SK케미칼,"421,000","4,500",+1.08%,"5,000","49,431","11,741",21.13,"621,511",19.21,1.51,
60,아모레G,"58,900","2,700",-4.38%,500,"48,568","82,458",20.00,"291,451",208.13,4.12,
61,오리온,"120,000","3,000",-2.44%,500,"47,443","39,536",42.12,"130,634",17.33,14.24,
62,LG이노텍,"200,000","9,500",-4.53%,"5,000","47,334","23,667",31.93,"535,858",36.26,4.73,
63,한미약품,"383,000","35,500",-8.48%,"2,500","46,260","12,078",14.52,"243,016","-3,718.45",7.30,
64,유한양행,"65,700","2,500",-3.67%,"1,000","45,972","69,973",20.06,"735,669",25.31,2.43,
65,SKC,"121,000","2,500",-2.02%,"5,000","45,821","37,868",8.01,"674,765",53.71,3.86,
66,이마트,"164,000","5,500",-3.24%,"5,000","45,716","27,876",31.53,"335,212",8.19,2.76,
67,한국금융지주,"81,300","4,700",-5.47%,"5,000","45,305","55,726",30.37,"757,887",7.44,18.14,
68,현대건설,"40,250","1,950",-4.62%,"5,000","44,821","111,356",18.81,"1,712,721",19.62,6.30,
69,HMM,"13,650",400,-2.85%,"5,000","44,759","327,902",6.67,"5,949,595",-44.03,-55.46,
70,두산중공업,"11,750",900,-7.11%,"5,000","44,020","374,637",10.69,"6,800,700",-2.53,-14.73,
71,신풍제약,"81,000","5,900",-6.79%,500,"42,918","52,985",11.53,"3,513,151","2,250.00",0.80,
72,한진칼,"61,000","1,100",-1.77%,"2,500","40,420","66,263",15.37,"90,433",-10.06,-17.56,
73,맥쿼리인프라,"10,750",100,-0.92%,0,"40,011","372,192",13.91,"1,257,245",N/A,N/A,
74,삼성중공업,"6,210",280,-4.31%,"5,000","39,123","630,000",15.09,"6,692,892",-3.13,-21.88,
75,CJ대한통운,"168,000","5,500",-3.17%,"5,000","38,325","22,812",21.40,"158,291",30.29,1.41,
76,현대차2우B,"103,000","6,500",-5.94%,"5,000","37,580","36,485",60.85,"246,325",24.61,N/A,
77,현대중공업지주,"235,000","9,500",-3.89%,"5,000","37,127","15,799",17.79,"104,066",-14.24,2.20,
78,두산퓨얼셀,"55,700","3,800",-6.39%,100,"36,480","65,494",19.54,"1,948,997",163.34,N/A,
79,키움증권,"141,000","5,500",-3.75%,"5,000","36,158","25,644",22.16,"248,702",6.22,16.97,
80,LG화학우,"467,500","19,000",-3.91%,"5,000","35,945","7,689",63.48,"85,031",43.68,N/A,
81,삼성카드,"29,700","1,150",-3.73%,"5,000","34,410","115,859",10.81,"300,393",8.35,5.04,
82,롯데지주,"32,450","1,450",-4.28%,200,"34,043","104,909",11.27,"361,924",-4.75,-5.21,
83,삼성증권,"37,750","2,000",-5.03%,"5,000","33,711","89,300",26.21,"904,955",7.17,8.15,
84,GS,"36,250",700,-1.89%,"5,000","33,682","92,915",19.18,"429,092",-39.32,6.26,
85,일진머티리얼즈,"71,400","2,000",+2.88%,500,"32,923","46,111",8.88,"1,331,290",74.07,8.52,
86,쌍용양회,"6,460",120,-1.82%,100,"32,549","503,860",3.09,"1,931,067",25.94,7.02,
87,만도,"69,200","3,500",-4.81%,"1,000","32,494","46,957",25.90,"1,158,020",-58.59,7.55,
88,호텔신라,"80,900","1,900",-2.29%,"5,000","31,752","39,248",19.39,"816,946",-24.55,20.16,
89,NH투자증권,"11,050",200,-1.78%,"5,000","31,096","281,409",15.27,"1,976,490",5.37,9.12,
90,GS건설,"38,150","1,950",-4.86%,"5,000","30,819","80,785",26.66,"1,295,882",9.98,11.79,
91,동서,"30,850",850,+2.83%,500,"30,757","99,700",4.26,"246,800",22.24,10.53,
92,에스원,"80,800","2,600",-3.12%,500,"30,703","37,999",56.31,"110,558",21.26,11.32,
93,TIGER 200,"40,975",980,-2.34%,0,"30,485","74,400",0.93,"2,795,487",N/A,N/A,
94,두산밥캣,"30,350","2,050",-6.33%,500,"30,426","100,249",22.15,"404,227",16.42,7.05,
95,한국항공우주,"31,050",100,-0.32%,"5,000","30,266","97,475",14.08,"2,629,416",22.86,15.84,
96,더존비즈온,"99,900",100,-0.10%,500,"30,100","30,130",45.67,"165,575",62.09,18.78,
97,롯데쇼핑,"105,500","4,000",-3.65%,"5,000","29,845","28,289",11.63,"196,416",-2.23,-8.14,
98,BGF리테일,"170,000","5,000",+3.03%,"1,000","29,383","17,284",32.07,"190,461",22.46,26.46,
99,한국가스공사,"31,000","1,300",-4.02%,"5,000","28,617","92,313",8.88,"640,229",-5.70,0.48,
100,씨에스윈드,"160,000","8,500",-5.04%,500,"27,657","17,286",9.20,"305,049",55.79,9.92,
101,현대차우,"113,000","6,000",-5.04%,"5,000","27,523","24,357",55.01,"309,799",27.00,N/A,
102,CJ,"94,100","3,600",-3.68%,"5,000","27,456","29,177",19.74,"221,033",15.63,6.24,
103,DB하이텍,"61,500","5,400",-8.07%,"5,000","27,305","44,399",24.13,"3,486,383",16.59,17.40,
104,대웅,"46,750",850,-1.79%,500,"27,181","58,142",5.20,"484,405",53.86,10.43,
105,GS리테일,"34,700",750,-2.12%,"1,000","26,719","77,000",15.02,"461,905",15.82,6.25,
106,대우조선해양,"24,450","1,300",-5.05%,"5,000","26,233","107,291",9.29,"412,628",15.05,-1.22,
107,DB손해보험,"36,800","1,050",-2.77%,500,"26,054","70,800",40.61,"338,042",4.69,6.92,
108,휠라홀딩스,"42,700","2,100",-4.69%,"1,000","25,941","60,752",48.30,"1,142,259",14.40,23.81,
109,현대오토에버,"122,500","8,500",-6.49%,500,"25,725","21,000",0.95,"180,990",44.76,11.71,
110,현대위아,"90,800","3,700",-3.92%,"5,000","24,693","27,195",10.43,"1,388,238",19.62,1.80,
111,대우건설,"5,900",420,-6.65%,"5,000","24,522","415,623",8.17,"11,202,757",12.74,8.80,
112,팬오션,"4,550",175,-3.70%,"1,000","24,323","534,570",11.40,"3,582,169",17.98,5.49,
113,삼성엔지니어링,"12,350",700,-5.36%,"5,000","24,206","196,000",24.41,"2,861,249",9.48,24.62,
114,한화,"32,150","1,250",-3.74%,"5,000","24,099","74,959",19.54,"1,180,939",13.10,2.09,
